,abstract_id,line_id,abstract_text,line_number,total_lines,current_line,target
31,19575874,19575874_10_19,"Basal-like breast cancers constituted 17.0% of 1311 invasive breast cancers with a significantly larger size, higher grade and higher incidence of the medullary carcinoma, frequent recurrence and infrequent node metastasis.",10,19,10_19,RESULTS:
32,19575874,19575874_14_19,Basal-like breast cancers in Chinese population has a similar prevalence to that of the western populations.,14,19,14_19,CONCLUSIONS:
33,10898354,10898354_7_19,Breast carcinoma is moderately sensitive to multiple antitumor agents.,7,19,7_19,BACKGROUND:
34,10898354,10898354_12_19,"The author conducted a computerized literature search of MEDLINE and CANCERLIT and also reviewed the abstracts of major oncology meetings (ASCO, American Association for Cancer Research, ESMO, and San Antonio Breast Cancer Symposium) over the past 10 years.",12,19,12_19,METHODS:
35,10898354,10898354_13_19,"Effective new cytotoxic drugs include the taxanes (paclitaxel and docetaxel), vinorelbine, gemcitabine, and capecitabine.",13,19,13_19,RESULTS:
36,34024810,34024810_9_22,"The exact immunopathological mechanisms in the progression of breast cancer are not clearly understood, but various factors including CD8 T lymphocytes have lethal properties on tumor cells.",9,22,9_22,BACKGROUND:
37,34024810,34024810_12_22,This study aimed to evaluate the CD8 T lymphocytes count and IL-37 gene expression in newly diagnosed breast cancer patients with and without metastasis.,12,22,12_22,OBJECTIVE:
38,34024810,34024810_13_22,"In this study, blood samples from 36 metastatic and 36 non-metastatic breast cancer patients and 36 healthy individuals as control were collected.",13,22,13_22,METHODS:
39,34024810,34024810_16_22,The results of this study showed that the gene expression of IL-37 in blood samples of metastatic and non-metastatic breast cancer patients was significantly lower than in healthy individuals (P < 0.05).,16,22,16_22,RESULTS:
40,34024810,34024810_19_22,"Our findings provide evidence that IL-37 gene expression and CD8 T lymphocytes count, significantly decreased in non-metastatic and metastatic breast cancer.",19,22,19_22,CONCLUSIONS:
41,33334233,33334233_10_22,"To compare outcome metrics of digital breast tomosynthesis (DBT) breast cancer screening with full-field digital mammogram (FFDM); specifically, to compare recall rates by the type of recalled finding, and to assess if screening with DBT versus FFDM changes biopsy recommendations and if the likelihood of malignancy varied by lesion type, if detected on DBT or FFDM screening mammogram.",10,22,10_22,OBJECTIVE:
42,33334233,33334233_11_22,"The outcomes of 22,055 FFDM and DBT screening mammograms were retrospectively reviewed.",11,22,11_22,METHODS:
43,33334233,33334233_14_22,The recall rate was 10.6% for FFDM and 8.0% for DBT (p < 0.001).,14,22,14_22,RESULTS:
44,33334233,33334233_18_22,DBT screening confers an advantage in detection of architectural distortion representing malignancy.,18,22,18_22,CONCLUSIONS:
45,23982110,23982110_5_13,"Overexpression of fatty acid synthase (FASN), the enzyme involved in the de novo synthesis of fatty acids, has been reported in several human carcinomas, including breast cancer, and has been related to poor prognosis.",5,13,5_13,OBJECTIVE:
46,23982110,23982110_7_13,We prospectively studied 53 women with early-stage breast cancer who were treated with surgical operation and postoperative chemotherapy.,7,13,7_13,METHODS:
47,23982110,23982110_8_13,"Menopause status and age were strongly associated with higher levels of FASN tumor expression (P < 0.005 and P = 0.038, respectively).",8,13,8_13,RESULTS:
48,23982110,23982110_10_13,Our findings suggest that FASN could be a potential therapeutic target in postmenopausal breast cancer patients.,10,13,10_13,CONCLUSIONS:
49,12814201,12814201_6_17,Postmenopausal hormone use and risk of breast cancer by histopathology was examined in a large multi-centered population-based case-control study.,6,17,6_17,OBJECTIVE:
50,12814201,12814201_7_17,"Women younger than 75 years newly diagnosed with invasive breast cancer between 1988 and 1991 were identified from statewide tumour registries in Wisconsin, Massachusetts, New Hampshire, and Maine.",7,17,7_17,METHODS:
51,12814201,12814201_10_17,"Lobular carcinoma was associated with recent (within 2 years) estrogen therapy (OR: 1.8, 95% CI: 1.0-3.4) and recent use of combined estrogen-plus-progestin therapy (OR:3.6, 95%CI: 1.8-7.6).",10,17,10_17,RESULTS:
52,12814201,12814201_13_17,The association between postmenopausal hormone use and risk of breast cancer may depend on histopathology.,13,17,13_17,CONCLUSIONS:
53,24438060,24438060_7_15,"Higher sunlight exposure is correlated with lower incidence of breast cancer in ecological studies, but findings from prospective studies regarding the association of circulating levels of vitamin D with the risk of breast cancer have been null.",7,15,7_15,BACKGROUND:
54,24438060,24438060_9_15,"We conducted a nested case-control study within the Multiethnic Cohort Study of five race/ethnic groups (white, African-American, Native Hawaiian, Japanese, and Latino) from Hawaii and Los Angeles between 2001 and 2006.",9,15,9_15,METHODS:
55,24438060,24438060_11_15,"Using conditional logistic regression models, 20 ng/mL increases of plasma 25(OH)D3 (odds ratio (OR) 0.28; 95% confidence interval (CI) 0.14-0.56) and 25(OH)D (OR 0.43; 95% CI 0.23-0.80) were inversely associated with breast cancer risk among white women, but not among women in other race/ethnic groups.",11,15,11_15,RESULTS:
56,22968254,22968254_6_18,this study was to evaluate the true prevalence of endometrial pathology in asymptomatic postmenopausal estrogen receptor-positive (ER-positive) breast cancer patients and to know whether some patients are particularly at risk.,6,18,6_18,OBJECTIVE:
57,22968254,22968254_7_18,A preliminary cross-sectional study was carried out with 130 postmenopausal ER-positive breast cancer patients.,7,18,7_18,METHODS:
58,22968254,22968254_10_18,Hysteroscopic evaluation was possible in 118 patients (90.7%).,10,18,10_18,RESULTS:
59,22968254,22968254_15_18,Asymptomatic postmenopausal women with ER-positive breast cancer have a very high prevalence of baseline subclinical endometrial abnormalities.,15,18,15_18,CONCLUSIONS:
60,34452710,34452710_13_26,We reviewed registration trials in US Food and Drug Administration databases between January 2010 and January 2019.,13,26,13_26,METHODS:
61,34452710,34452710_17_26,"Of the 46 trials containing PRO data, 46% had at least 1 follow-up PRO assessment.",17,26,17_26,RESULTS:
62,34452710,34452710_20_26,"The quality of the follow-up PRO data, based on completion rates, was variable, as was the duration of follow-up.",20,26,20_26,CONCLUSIONS:
63,33882206,33882206_50_66,Patients with metastatic triple-negative breast cancer have a poor prognosis.,50,66,50_66,BACKGROUND:
64,33882206,33882206_52_66,"In this randomized, phase 3 trial, we evaluated sacituzumab govitecan as compared with single-agent chemotherapy of the physician's choice (eribulin, vinorelbine, capecitabine, or gemcitabine) in patients with relapsed or refractory metastatic triple-negative breast cancer.",52,66,52_66,METHODS:
65,33882206,33882206_54_66,A total of 468 patients without brain metastases were randomly assigned to receive sacituzumab govitecan (235 patients) or chemotherapy (233 patients).,54,66,54_66,RESULTS:
66,33882206,33882206_61_66,Progression-free and overall survival were significantly longer with sacituzumab govitecan than with single-agent chemotherapy among patients with metastatic triple-negative breast cancer.,61,66,61_66,CONCLUSIONS:
67,17111253,17111253_6_15,the association between hormone therapy (HT) and breast density differs by levels of breast cancer risk factors.,6,15,6_15,OBJECTIVE:
68,17111253,17111253_7_15,"We evaluated 80,867 screening mammograms from 39,296 postmenopausal women from Washington State.",7,15,7_15,METHODS:
69,17111253,17111253_11_15,Current EPT users had a 98% (1.87-2.09) greater odds of having dense breasts and current ET users had a 71% (1.56-1.87) greater odds compared to never users.,11,15,11_15,RESULTS:
70,23635284,23635284_8_26,"The authors developed a virtual trial framework for task-specific DBT assessment that uses digital phantoms, open-source x-ray transport codes, and a projection-space, spatial-domain observer model for quantitative system evaluation.",8,26,8_26,METHODS:
71,23635284,23635284_14_26,"The large number of variables in a virtual DBT study make it difficult to directly compare different authors' results, so each result must be interpreted within the context of the specific virtual trial framework.",14,26,14_26,RESULTS:
72,23635284,23635284_23_26,"The authors have demonstrated a novel simulation framework and tools for evaluating DBT systems in an objective, task-specific manner.",23,26,23_26,CONCLUSIONS:
73,24314212,24314212_6_19,"To compare the differences in uptake of 2-deoxy-D-glucose (2-DG)-conjugated nanoparticles between breast carcinoma MDA-MB-231 cells with high metabolism and breast fibroblasts with normal metabolism, and investigate the feasibility of using the coated nanoparticles as a MRI-targeted contrast agent for highly metabolic carcinoma cells.",6,19,6_19,OBJECTIVE:
74,24314212,24314212_7_19,The γ-Fe2O3@DMSA-DG was prepared.,7,19,7_19,METHODS:
75,24314212,24314212_11_19,"Prussian blue staining showed more intracellular blue granules in the MDA-MB-231 cells of γ-Fe2O3@DMSA-DG NPs group than that in the γ-Fe2O3@DMSA NPs group, and the γ-Fe2O3@DMSA-DG uptake was greatly competed by free D-glucose.",11,19,11_19,RESULTS:
76,24314212,24314212_16_19,γ-Fe2O3@DMSA-DG has good targeting ability to highly metabolic breast carcinoma (MDA-MB-231) cells.,16,19,16_19,CONCLUSIONS:
77,28222306,28222306_35_45,The objective of this study was to evaluate if mammography screening attendance is associated with a reduction in late-stage breast cancer incidence.,35,45,35_45,BACKGROUND:
78,28222306,28222306_36_45,"The cohort included over 400,000 Italian women who were first invited to participate in regional screening programmes during the 1990s and were followed for breast cancer incidence for 13 years.",36,45,36_45,METHODS:
79,28222306,28222306_39_45,"Overall, screening attendance was associated with a 10% excess risk of in situ and invasive breast cancer (IRR = 1.10; 95% confidence interval (CI): 1.06-1.14), which dropped to 5% for invasive cancers only (IRR = 1.05; 95% CI: 1.01-1.09).",39,45,39_45,RESULTS:
80,18280334,18280334_5_16,"Mycosis fungoides, also called cutaneous T-cell lymphoma, comprise a group of extranodal, indolent non-Hodgkin's lymphomas of T-cell origin with primary involvement of the skin.",5,16,5_16,BACKGROUND:
81,18280334,18280334_9_16,We sought to assess whether CA27.29 levels were increased in patients with cutaneous T-cell lymphoma and whether there was a correlation of this marker with tumor response.,9,16,9_16,OBJECTIVE:
82,18280334,18280334_10_16,"We evaluated the CA27.29 blood levels from 6 patients with advanced mycosis fungoides (who had no evidence of breast cancer) and reviewed their charts for information about history and physical examinations, laboratory data, pathology findings, and radiologic examinations.",10,16,10_16,METHODS:
83,18280334,18280334_11_16,We demonstrated that 3 of 6 patients with advanced mycosis fungoides had markedly elevated CA27.29 blood levels.,11,16,11_16,RESULTS:
84,16735372,16735372_6_18,for Cancer Prevention and Screening program is a one-arm prospective study designed to evaluate the effect of multiple modalities for cancer screening.,6,18,6_18,BACKGROUND:
85,16735372,16735372_8_18,"To investigate the possibility of overdiagnosis, we compared the observed numbers with expected numbers based on the model.",8,18,8_18,OBJECTIVE:
86,16735372,16735372_9_18,"We calculated the expected number of cancers on the basis of negative or positive history of screening tests within the previous year, based on assumed sensitivity and sojourn time.",9,18,9_18,METHODS:
87,16735372,16735372_11_18,"From February 2004 to January 2005, 3786 participants were enrolled in our study.",11,18,11_18,RESULTS:
88,16735372,16735372_15_18,"Although cancer screening programs in the present study increased the detection of potentially curable cancers, these modalities, particularly lung, breast and prostate screening, might detect cancers which would not necessarily be clinically significant.",15,18,15_18,CONCLUSIONS:
89,25069573,25069573_7_19,Pancreatic ductal adenocarcinoma (PDAC) is a lethal malignancy associated with poor survival rates.,7,19,7_19,BACKGROUND:
90,25069573,25069573_10_19,Peripheral blood samples from PDAC patients (n = 18) and controls (n = 18) were analyzed by whole genome cDNA microarray hybridization.,10,19,10_19,METHODS:
91,25069573,25069573_13_19,Microarray studies identified 87 genes differentially expressed in peripheral blood samples from PDAC patients.,13,19,13_19,RESULTS:
92,25069573,25069573_16_19,Peripheral blood gene expression profiling is an useful tool for the diagnosis of PDAC.,16,19,16_19,CONCLUSIONS:
93,36326168,36326168_13_27,This study explored use and perceived barriers to the use of post-operative video-link telehealth among a sample of Australian surgeons shortly before the COVID-19 pandemic.,13,27,13_27,OBJECTIVE:
94,36326168,36326168_14_27,"During 2019-2020, a survey was mailed to RACS or RANZCOG Fellows.",14,27,14_27,METHODS:
95,36326168,36326168_18_27,"Twenty-five percent of eligible surgeons returned the survey, with n = 763 pre-pandemic responses included in analyses.",18,27,18_27,RESULTS:
96,36326168,36326168_23_27,Some surgeons' perceived barriers to telehealth pre-COVID may be overcome by COVID-19-related telehealth uptake and familiarisation.,23,27,23_27,CONCLUSIONS:
97,24958735,24958735_43_57,Women >65years-old with newly diagnosed EBC were included in this prospective study.,43,57,43_57,METHODS:
98,24958735,24958735_48_57,"Among the 123 elderly EBC patients (70±4years) included, 41% presented objective CD, which is greater than expected in healthy population norms (binomial test P<.0001).",48,57,48_57,RESULTS:
99,24958735,24958735_52_57,This is the first large series assessing baseline cognitive functions in elderly EBC patients.,52,57,52_57,CONCLUSIONS:
100,26440836,26440836_10_20,"To assess the knowledge, attitude and practices amongst Pakistani females towards breast screening programmes.",10,20,10_20,OBJECTIVE:
101,26440836,26440836_11_20,"The descriptive cross-sectional study was conducted from June 2013 to July2014 at Mayo Hospital, Lahore, and comprised attendants and patients who visited out-patients department and/or were treated as in-patients.",11,20,11_20,METHODS:
102,26440836,26440836_14_20,There were 1184 women with a mean age of 32.7±8.6 years.,14,20,14_20,RESULTS:
103,26440836,26440836_17_20,"The knowledge and practices regarding breast cancer screening, breast self-examination and mammogram among women were not good.",17,20,17_20,CONCLUSIONS:
104,21966631,21966631_7_16,The aim is to show ultrasound (US) findings of additional malignant lesions of breast carcinoma visualized on targeted second-look US that were not identified by mammography or US prior to the time of diagnosis.,7,16,7_16,OBJECTIVE:
105,21966631,21966631_8_16,retrospective review of the US results from January 2008 through August 2010 of 228 patients with known breast cancer was conducted by two expert radiologists.,8,16,8_16,METHODS:
106,21966631,21966631_11_16,"Approximately 60 to 70% of the findings were classified as BI-RADS 2 and BI-RADS 3, while assessing the final US category.",11,16,11_16,RESULTS:
107,21966631,21966631_13_16,"Most additional malignant lesions, nonpalpable carcinomas, which were previously not detected by mammography and US at first-look diagnosis, were detected by a targeted second-look US examination.",13,16,13_16,CONCLUSIONS:
108,30124442,30124442_7_17,analyse the local recurrence (LR) and breast cancer related mortality (BCRM) in older women who underwent breast-conserving surgery (BCS) with and without adjuvant radiotherapy (XRT).,7,17,7_17,CONCLUSIONS:
109,30124442,30124442_8_17,"This retrospective study included a total of 299 women who underwent BCS for early breast carcinoma, between the years of 2007 and 2011.",8,17,8_17,METHODS:
110,30124442,30124442_10_17,"Women over the age of 65 in the XRT and No-XRT groups showed similar incidence of LR (5.8% vs 5%, p = 0.838).",10,17,10_17,RESULTS:
111,30124442,30124442_14_17,XRT in women over the age of 65 did not decrease the risk of LR.,14,17,14_17,CONCLUSIONS:
112,25532824,25532824_7_23,"While studies suggest most women have little regret regarding their breast cancer treatment decisions immediately following treatment, no studies to date have evaluated how regret may change over time.",7,23,7_23,BACKGROUND:
113,25532824,25532824_8_23,To measure the stability of posttreatment decision regret over time among women with breast cancer.,8,23,8_23,OBJECTIVE:
114,25532824,25532824_9_23,"Women diagnosed with breast cancer between August 2005 and May 2007 reported to the Detroit, Michigan, or Los Angeles County Surveillance, Epidemiology, and End Results (SEER) registry and completed surveys at 9 months following diagnosis (time 1) and again approximately 4 years later (time 2).",9,23,9_23,METHODS:
115,25532824,25532824_14_23,The analytic sample included 1536 women.,14,23,14_23,RESULTS:
116,25532824,25532824_19_23,Decision regret following treatment was low and relatively stable over time for most women.,19,23,19_23,CONCLUSIONS:
117,27995530,27995530_13_25,The aim of this study was to evaluate the pharmacokinetics (PK) of trastuzumab emtansine (T-DM1) and relevant analytes in patients with human epidermal growth factor receptor 2 (HER2)-positive metastatic breast cancer and hepatic impairment.,13,25,13_25,OBJECTIVE:
118,27995530,27995530_14_25,"Patients were enrolled in three independent parallel cohorts based on hepatic function per Child-Pugh criteria: normal hepatic function, mild hepatic impairment, and moderate hepatic impairment.",14,25,14_25,METHODS:
119,27995530,27995530_17_25,"Compared with patients with normal hepatic function (n = 10), T-DM1 clearance at cycle 1 was 1.8- and 4.0-fold faster in the mild (n = 10) and moderate (n = 8) cohorts, respectively.",17,25,17_25,RESULTS:
120,27995530,27995530_21_25,No increase in systemic DM1 concentration was observed in patients with mild or moderate hepatic impairment versus those with normal hepatic function.,21,25,21_25,CONCLUSIONS:
121,24378106,24378106_7_18,"To estimate the contribution of known identified risk factors to breast cancer incidence and mortality in China, and provide evidence to support the prevention and control of breast cancer for Chinese females.",7,18,7_18,OBJECTIVE:
122,24378106,24378106_8_18,We calculated the proportion of breast cancer attributable to specific risk factors.,8,18,8_18,METHODS:
123,24378106,24378106_12_18,"The first 5 risk factors of breast cancer in China were benign breast disease (RR = 2.62), family history of breast cancer (RR = 2.39), smoking (RR = 1.86), overweight (RR = 1.60) and age at menarche (RR = 1.54).",12,18,12_18,RESULTS:
124,29246402,29246402_10_24,To evaluate the reproducibility of the sentinel lymph node (SLN) technique in male breast cancer.,10,24,10_24,OBJECTIVE:
125,29246402,29246402_11_24,"analysed 21 male patients diagnosed with breast cancer in our hospital from 2008 to 2016 with, at least, 18 months follow-up.",11,24,11_24,METHODS:
126,29246402,29246402_16_24,SLNB was performed in 15 patients.,16,24,16_24,RESULTS:
127,33660791,33660791_7_18,Paget disease of the breast (PDB) is a rare form of cutaneous breast cancer.,7,18,7_18,OBJECTIVE:
128,33660791,33660791_10_18,"search was performed on PubMed, Embase and Scopus in order to detect case reports, case series and prospective as well as retrospective clinical studies describing histologically proven PDB and providing information about pertinent radiation treatments.",10,18,10_18,METHODS:
129,33660791,33660791_12_18,"Inclusion criteria were met by six papers, dealing with radiation treatments performed postoperatively and in exclusive settings.",12,18,12_18,RESULTS:
130,33660791,33660791_14_18,"Actually, the standard treatment of PDB reflects oncological principles of breast carcinoma therapy, including the role of breast-preserving surgery.",14,18,14_18,CONCLUSIONS:
131,23697596,23697596_6_18,Estrogen metabolism-mediated oxidative stress is suggested to play an important role in estrogen-induced breast carcinogenesis.,6,18,6_18,BACKGROUND:
132,23697596,23697596_9_18,Female ACI rats were treated with E2; Vit C; Vit C + E2; BHA; and BHA + E2 for up to 240 days.,9,18,9_18,METHODS:
133,23697596,23697596_11_18,The expression of OGG1 was suppressed in mammary tissues and in mammary tumors of rats treated with E2.,11,18,11_18,RESULTS:
134,31841464,31841464_8_35,Assessment of the possible impact of the Chornobyl accident on the incidence of breast cancer in the female population of Ukraine as a whole and in some affected groups.,8,35,8_35,OBJECTIVE:
135,31841464,31841464_10_35,"Statistical, mathematical, cartographic.",10,35,10_35,METHODS:
136,31841464,31841464_11_35,"This study, covering a significant period of time (1976-2016), revealed a steady temporal and territorial agglomeration of regions with a higher incidence of breast cancer in the southern and south-eastern regions of Ukraine.",11,35,11_35,RESULTS:
137,31841464,31841464_16_35,"A stable agglomeration of regions with high levels of incidence in the south and south-east, and low in the west and north of the country is determined.",16,35,16_35,CONCLUSIONS:
138,27059339,27059339_17_30,"Main eligibility criteria: HER2-positive disease, no adjuvant chemotherapy within the last 6 months and no prior chemotherapy for MBC.",17,30,17_30,METHODS:
139,27059339,27059339_21_30,"In the full population (n = 26), median age was 50.7 years and median WHO PS 0.",21,30,21_30,RESULTS:
140,27059339,27059339_27_30,Our results confirm the efficacy of oral vinorelbine-trastuzumab combination as a first-line treatment in HER2-positive locally advanced or MBC patients with an acceptable safety profile.,27,30,27_30,CONCLUSIONS:
141,10684708,10684708_5_16,Apolipoprotein D is a protein component of the human plasma lipid transport system but is also associated with a more favorable prognosis in women with breast cancer.,5,16,5_16,OBJECTIVE:
142,10684708,10684708_7_16,Immunohistochemical evaluation was used to examine apolipoprotein D expression in paraffin blocks from 68 epithelial ovarian carcinomas.,7,16,7_16,METHODS:
143,10684708,10684708_8_16,A total of 18 (26.4%) tumors stained positively.,8,16,8_16,RESULTS:
144,23347394,23347394_6_26,Proton therapy can result in clinically significant radiation dermatitis.,6,26,6_26,OBJECTIVE:
145,23347394,23347394_10_26,This is a descriptive report of the skin toxicity observed in two patients undergoing proton therapy for prostate cancer at a single institution in 2011.,10,26,10_26,METHODS:
146,23347394,23347394_12_26,Two patients with low risk prostate cancer were treated with proton therapy to a total dose of 79.2Gy (RBE) in 1.8 Gy (RBE) fractions using two opposed lateral beams daily.,12,26,12_26,RESULTS:
147,23347394,23347394_20_26,Transparent adhesive markers appear to have attenuated radiation dermatitis in these two patients without affecting the SOBP.,20,26,20_26,CONCLUSIONS:
148,35154321,35154321_12_27,"To identify new tumor marker genes available for early tumor screening, differentially expressed gene profiles of multiple tumors were compared using Genotype-Tissue Expression (GTEx), Cancer Cell Line Encyclopedia (CCLE), and The Cancer Genome Atlas (TCGA) databases.",12,27,12_27,OBJECTIVE:
149,35154321,35154321_14_27,"The expression and distribution of AP1M2 gene in tumor tissues and the corresponding normal control tissues were analyzed using the pan-cancer databases GTEx, CCLE, and TCGA.",14,27,14_27,METHODS:
150,35154321,35154321_19_27,"AP1M2 was abundantly expressed in a wide range of cancers, and its expression level was positively correlated with the outcome of tumor victims.",19,27,19_27,RESULTS:
151,35154321,35154321_23_27,"These findings suggest that AP1M2 expression levels are significantly correlated to patients' outcomes and levels of immune infiltration in most cancer types, including T cells (CD8+ and CD4+), macrophages, neutrophils, and dendritic cells (DCs), particularly in breast cancer.",23,27,23_27,CONCLUSIONS:
152,27478317,27478317_8_22,"To assess the incidence, mortality and survival status of female breast cancer in Jiangsu province of China.",8,22,8_22,OBJECTIVE:
153,27478317,27478317_9_22,Population-based cancer registry data in Jiangsu province were collected during 2003-2011.,9,22,9_22,METHODS:
154,27478317,27478317_12_22,"From 2003 to 2011, 17,605 females were diagnosed with breast cancer and 4,883 died in selected registry areas in Jiangsu province.",12,22,12_22,RESULTS:
155,27478317,27478317_19_22,Breast cancer has become a significant public health problem in Jiangsu province and China.,19,22,19_22,CONCLUSIONS:
156,29137559,29137559_8_19,This study examined associations of state-level Medicaid reimbursement and other policies and patient characteristics with receipt of mental health diagnostic and treatment services for beneficiaries with cancer.,8,19,8_19,OBJECTIVE:
157,29137559,29137559_9_19,Data (2006-2008) from Medicaid beneficiaries with breast cancer were analyzed to examine predictors of receiving mental health diagnostic services and mental health treatment services.,9,19,9_19,METHODS:
158,29137559,29137559_12_19,"The analysis of diagnostic services included 7,441 Medicaid beneficiaries, and the analysis of treatment services included 7,511 beneficiaries.",12,19,12_19,RESULTS:
159,29137559,29137559_16_19,"The association of higher Medicaid reimbursements for consultations with receipt of mental health services suggests that consultation reimbursement has a ""gatekeeper"" effect-after a patient received an initial consultation, lower reimbursements for mental health services were not barriers to subsequent mental health care.",16,19,16_19,CONCLUSIONS:
160,32404796,32404796_7_20,To determine the rates of and factors associated with preoperative counseling about menopausal symptoms and use of hormone therapy postoperatively in surgically menopausal women.,7,20,7_20,OBJECTIVE:
161,32404796,32404796_8_20,This retrospective chart review included patients who underwent bilateral oophorectomies before age 52 at an academic institution during a 3-year period.,8,20,8_20,METHODS:
162,32404796,32404796_10_20,This review included 152 patients with a mean age of 44 ± 5 years (range 28-51).,10,20,10_20,RESULTS:
163,32404796,32404796_16_20,"Within our cohort, 66% had no documentation of counseling about menopausal symptoms before surgical menopause.",16,20,16_20,CONCLUSIONS:
